position,driver,current points,theoretical max points,can't be higher than,can't be lower than
1,VER,454,454,1,0
2,LEC,308,308,2,1
3,PER,305,305,3,2
4,RUS,275,275,4,3
5,SAI,246,246,5,4
6,HAM,240,240,6,5
7,NOR,122,122,7,6
8,OCO,92,92,8,7
9,ALO,81,81,9,8
10,BOT,49,49,10,9
11,RIC,37,37,11,10
12,VET,37,37,11,10
13,MAG,25,25,13,12
14,GAS,23,23,14,13
15,STR,18,18,15,14
16,MSC,12,12,16,15
17,TSU,12,12,16,15
18,ZHO,6,6,18,17
19,ALB,4,4,19,18
20,LAT,2,2,20,19
21,DEV,2,2,20,19
22,HUL,0,0,22,22
